Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,SubVertical,Investors Name,InvestmentnType,Amount in USD,Remarks,City
513,24/11/2017,IDG Ventures,Finance,Venture Capitalist,Uniliver Ventures,Private Equity,10000000,,Bangalore
514,24/11/2017,TempGo,Technology,IoT and SaaS based transportation platform,Javelin StartupO Victory Fund,Seed/Angel Funding,250000,,Goa
515,27/11/2017,Edelweiss,Finance,Diversified Financial,Undisclosed investors,Private Equity,270000000,,Mumbai
516,27/11/2017,ERA,Technology,Identity management platform,Amit Patni,Seed/Angel Funding,39000,,Mumbai
517,27/11/2017,Smaaash,Technology,Virtual Reality based gaming platform,Sixth Sense Ventures,Private Equity,3800000,,Mumbai
518,28/11/2017,Chumbak,Lifestyle,Designer-led consumer products,Gaja Capital,Private Equity,13000000,,Bangalore
519,28/11/2017,FR8,Technology,Online Truck aggregator platform,IFMR Capital,Debt Funding,1500000,,Chennai
520,28/11/2017,MobieFit,Healthcare,Health and fitness based mobile App,"NB Ventures, MediAssist",Seed/Angel Funding,1350000,,Goa
521,28/11/2017,Stanza Living,Technology,Student accommodation platform,"Matrix PArtners, Accel",Private Equity,2000000,,Delhi
524,03/10/2017,Ola Cabs,Consumer Internet,App based cab hailing services,"Tencent, Softbank Group",Private Equity,110000000,,Bangalore
526,04/10/2017,CollPoll,Consumer Internet,Education collaboration platform,Sprout Angels,Seed Funding,306000,,Bangalore
527,04/10/2017,PhonePe,Consumer Internet,Digital Wallet,Flipkart,Private Equity,38700000,,Bangalore
528,05/10/2017,Little Black Book,Consumer Internet,Local Recommendations and Discoveries Platform,"Blume Ventures, IDG Ventures & Indian Angel Network",Private Equity,1000000,,New Delhi
529,05/10/2017,Oorjan,Technology,rooftop solar platform,Globevestor,Seed Funding,450000,,Mumbai
530,05/10/2017,Zefo,ECommerce,Ecommerce Portal for Used Goods,"Sequoia India, Helion Venture Partners, Beenext",Private Equity,9200000,,Bangalore
531,06/10/2017,Yaantra,ECommerce,Mobile repair and Refurbishment platform,Carpediem Capital,Private Equity,3100000,,New Delhi
532,06/10/2017,Farm Taaza,Technology,Fresh Produce SCM company,"Epsilon Venture Partners, Tara India Fund IV and others",Private Equity,8000000,,Bangalore
533,06/10/2017,Drivezy,Consumer Internet,Self Drive car and bike rental platform,"Das Capital, Axan Partners, Das Capital and IT Farm",Private Equity,10000000,,Bangalore
