Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,SubVertical,Investors Name,InvestmentnType,Amount in USD,Remarks,City
1,09/01/2020,BYJU’S,E-Tech,E-learning,Tiger Global Management,Private Equity Round,200000000,,Bengaluru
2,13/01/2020,Shuttl,Transportation,App based shuttle service,Susquehanna Growth Equity,Series C,8048394,,Gurgaon
3,09/01/2020,Mamaearth,E-commerce,Retailer of baby and toddler products,Sequoia Capital India,Series B,18358860,,Bengaluru
4,02/01/2020,https://www.wealthbucket.in/,FinTech,Online Investment,Vinod Khatumal,Pre-series A,3000000,,New Delhi
5,02/01/2020,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Sprout Venture Partners,Seed Round,1800000,,Mumbai
6,13/01/2020,Pando,Logistics,"Open-market, freight management platform",Chiratae Ventures,Series A,9000000,,Chennai
7,10/01/2020,Zomato,Hospitality,Online Food Delivery Platform,Ant Financial,Private Equity Round,150000000,,Gurgaon
8,12/12/2019,Ecozen,Technology,Agritech,Sathguru Catalyzer Advisors,Series A,6000000,,Pune
9,06/12/2019,CarDekho,E-Commerce,Automobile,Ping An Global Voyager Fund,Series D,70000000,,Gurgaon
10,03/12/2019,Dhruva Space,Aerospace,Satellite Communication,"Mumbai Angels, Ravikanth Reddy",Seed,50000000,,Bengaluru
11,13/12/2019,Rivigo,Technology,Logistics Services and Solutions,"SAIF Partners, Spring Canter Investment Ltd.",Series F,20000000,,Gurgaon
12,17/12/2019,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,12000000,,Bengaluru
13,16/12/2019,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Vertex Growth Fund,Series E,30000000,,Bengaluru
14,16/12/2019,InCred,Finance,Non-Banking Financial Company,,Debt Funding,5900000,,Mumbai
15,14/12/2019,Trell,Video,Experience Discovery Platform,Ruizheng Investment,Seed Round,2000000,,Bengaluru
16,11/12/2019,Rein Games,Gaming,Real money based gaming startup,Manipal Education and Medical Group (MEMG),Seed Round,50000000,,Noida
17,20/12/2019,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,SoftBank Vision Fund,Series G,231000000,,Faridabad
18,13/11/2019,Freshworks,Software,Business and customer engagement tools,"Sequoia, CapitalG, Accel",Series H,150000000,,San Francisco
19,14/11/2019,Misters,Health and wellness,Men's Health and Wellness brand,"Sauce.vc, Rainforest Ventures",Series B,486000,,Gurgaon
20,13/11/2019,Sunstone Eduversity Pvt. Ltd,Education,Elearning,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,1500000,,Gurgaon
22,18/11/2019,Healthians,Health and Wellness,Healthcare services,"DG Daiwa Ventures, DG Incubation",Series B,12000000,,Gurgaon
23,15/11/2019,Ninjacart,B2B Marketing,Agritech,Trifecta Capital Advisors,Debt Funding,26000000,,Bengaluru
24,20/11/2019,Aye Finance,FinTech,Financial Services To MSMEs,FinTech,Debt Funding,17411265,,Gurgaon
25,12/11/2019,SuperGaming,Video Games,Social gaming platform,Dream Incubator,Seed Funding,1300000,,Pune
26,20/11/2019,Clumio,SaaS,Recovery software,"Altimeter Capital, Sutter Hill Ventures",Series C,135000000,,"San Jose,"
27,11/11/2019,eBikeGo,Last Mile Transportation,Electric bike rental,Startup Buddy,Seed,300000,,Amritsar
28,19/11/2019,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,Amour Infrastructure,Seed Funding,220000000,,Delhi
29,18/11/2019,Medikabazaar,Healthcare,B2B platform for medical supplies,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,15800000,,Mumbai
30,15/11/2019,Vogo Automotive,Last Mile Transportation,Scooter sharing app,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,283000000,,Kormangala
31,19/11/2019,Furtados School of Music,Education,Music Education,IAN Fund and DSG Consumer Partners,,200000000,,Tulangan
32,25/11/2019,Paytm,FinTech,Mobile Wallet,Vijay Shekhar Sharma,Funding Round,1000000000,,Noida
33,04/10/2019,Dunzo,Customer Service,Delivery Service,Lightbox,Series D,45000000,,Bengaluru
34,02/10/2019,Udaan,B2B,Business development,"Altimeter Capital, DST Global",Series D,585000000,,Bengaluru
36,05/09/2019,FPL Technologies,FinTech,Financial Services,"Matrix Partners India, Sequoia India",Maiden Round,4500000,,Pune
37,04/09/2019,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,SAIF Partners,Series A,3300000,,Mumbai
38,04/09/2019,Digital F5,"Advertising, Marketing",Digital marketing firm,TIW Private Equity,Private Equity Round,6000000,,Mumbai
39,04/09/2019,3rdFlix,SaaS,Education Technology,Exfinity Venture Partners,pre-series A,5000000,,Hyderabad
40,04/09/2019,75F,IoT,Building automation system,Breakthrough Energy Ventures,Series A,18000000,,Burnsville
41,04/09/2019,Myelin Foundry,Information Technology,Deep-technology,Endiya Partners,Seed,1000000,,Bengaluru
42,04/09/2019,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",A91 Partners,Series A,10000000,,Mumbai
43,04/09/2019,GOQii,Health and Wellness,Wearable Fitness Bands,Bennett Coleman and Company Ltd (BCCL),Series C,450000000,,Menlo Park
44,03/09/2019,Vyapar App,Accounting,Mobile-based Accounting Software,"India Quotient, Axilor Ventures",Series A,5000000,,Bengaluru
45,01/08/2019,CarDekho,E-Commerce,Automotive,SC GG India Mobility Holdings LLC,Series C,20000000,,Gurgaon
46,01/08/2019,Progcap,Finance,Supply Chain Management,Sequoia India,Series A,5000000,,New Delhi
47,01/08/2019,MyPetrolPump,Retail,Fuel Delivery,,Seed Funding Round,1600000,,Bengaluru
48,01/08/2019,Alteria Capital,Finance,VC Funds,"Azim Premji, Binny Bansal",Single Venture,140000000,,Mumbai
49,01/08/2019,Pine Labs,Information Technology,Last-mile retail transaction technology,Pine Labs Pte Ltd,Corporate Round,38080000,,Noida
50,12/08/2019,Meesho,E-Commerce,Social Commerce,Naspers,Series D,125000000,,Bengaluru
51,13/08/2019,Cars24,E-Commerce,Car Retail,MS Dhoni,Series D,11000000,,Gurugram
52,13/08/2019,Uniphore,Customer Service Platform,Conversational AI,March Capital Partners,Series C,51000000,,Palo Alto
53,23/08/2019,Zendrive,Automotive,Road Safety Analytics,XL Innovate,Series B,37000000,,San Francisco
54,23/08/2019,Lo! Foods,Consumer Goods,Low carb food for Diabetics,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,500000,,Bengaluru
55,23/08/2019,Tala,FinTech,Digital Lending Platform,RPS Ventures,Series D,110000000,,Santa Monica
56,22/08/2019,INDwealth,FinTech,Wealth Management,Tiger Global Management,Venture Round,15000000,,Gurgaon
57,21/08/2019,HungerBox,Food and Beverage,B2B Foodtech,One97 Communications Ltd.,Series C,6590000,,Bengaluru
58,23/08/2019,AdmitKard,EdTech,University Admissions,Growth DNA,Seed Round,1000000,,Noida
60,19/08/2019,Grofers,E-Commerce,Grocery Delivery,Softbank Vision Fund,Series F,70000000,,Gurgaon
61,27/08/2019,Rapido Bike Taxi,Transportation,Bike Taxi,Westbridge Capital,Series B,3900000000,,Bengaluru
62,02/07/2019,RenewBuy,Finance,Auto Insurance,"Lok Capital, IIFL Wealth",Series B,19000000,,Gurgaon
63,02/07/2019,Atlan,Information Technology,Big Data,WaterBridge Ventures,Pre-Series A,2500000,,Singapore
64,01/07/2019,WizCounsel,Compliance,Consulting,Kapil Dev,Angel,145000,,New Delhi
65,03/07/2019,Ola Cabs,Transport,Cabs,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,1000000,,Kormangala
66,01/07/2019,Uniphore,Artificial Intelligence,Speech Recognition,March Capital Partners,Series C,38080000,,Taramani
67,04/07/2019,Daalchini Technologies,Food and Beverage,Digital Vending Machine,Artha Venture,Seed Round,500000,,New Delhi
68,10/07/2019,"""BYJU\\'S""",EdTech,Education,Qatar Investment Authority,Private Equity Round,150000000,,Bengaluru
69,11/07/2019,Moglix,E-Commerce,Industrial Tools and Equipments,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,60000000,,Singapore
70,10/07/2019,Ezyhaul,Tech,Logistics,Undisclosed,Series B,16000000,,Singapore
71,10/07/2019,Indus OS,Tech,Smartphone Operating System,Ventureast,Series B,5750000,,Andheri
72,10/07/2019,HealthAssure,Health Care,Primary care medical network,Blume Ventures,Series A,2500000,,Mumbai
73,09/07/2019,House of Msasaba,Luxury Label,Clothes and Apparel,Binny Bansal,Series A,1000000,,Mumbai
74,08/07/2019,Board Infinity,EdTech,Full-stack career platform,Multiple Angel Investors,Angel Round,319605,,Chembur
75,05/06/2019,NoBroker,E-Commerce,Real Estate,General Atlantic,Series C,51000000,,Bengaluru
76,04/06/2019,Bira91,Food and Beverage,Brewery,Anicut Capital,Debt Funding,10000000,,New Delhi
78,03/06/2019,Avail Finance,Finance,FinTech,Matrix Partners,Series A,9000000,,Bengaluru
79,04/06/2019,BharatPe,Finance,FinTech,Insight Partners,Series B,75000000,,New Delhi
80,04/06/2019,Recykal,Waste Management Service,Optimization,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,26000000,,Hyderabad
81,03/06/2019,Agara Labs,Deep-Tech,Artificial Intelligence,Blume Ventures and RTP Global,pre-Series A,2500000,,Bengaluru
83,06/06/2019,Chakr Innovation,Energy,Renewable Energy,IAN Fund,Series A,26000000,,New Delhi
85,10/06/2019,Bolo App,Digital Media,Video Platform,Nexus Venture Partners,Seed Funding,430200,,Bengaluru
86,10/06/2019,OkCredit,FinTech,Financial Services,Tiger Global Management,Series A,15500000,,Haryana
87,06/06/2019,Biz2Credit,FinTech,Online Lending Platform,WestBridge Capital,Series B,52000000,,New York
88,08/06/2019,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Alteria Capital,Debt Funding,3584000,,Karnataka
89,04/06/2019,Leegality,Services,Digital Documentation,Mumbai Angels,Series A,3400000,,Mumbai/Bengaluru
91,06/05/2019,Saahas Zero Waste,Waste Management Service,Optimization,C4D Partners,Venture - Series Unknown,868600,,Bengaluru
93,01/05/2019,BlackBuck,Transport,Logistics,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,150000000,,Bengaluru
94,02/05/2019,Zenoti,Saas,Beauty and Wellness Industry,Tiger Global Management,Series C,50000000,,Hyderabad
95,28/05/2019,Ather Energy,Automobile,Electric Vehicle,Sachin Bansal,Series C,51000000,,Bengaluru
96,28/05/2019,FreshVnF,Agtech,Fresh Agriculture Produces,Equanimity Ventures,Seed Round,140000000,,Mumbai
97,30/05/2019,GlowRoad,E-commerce,Retail,"Korea Investment Partners, Vertex Ventures",Series B,11500000,,Bengaluru
98,31/05/2019,Bira91,Food and Beverage,Brewery,Sixth Sense Ventures,Series B,5600000,,New Delhi
99,16/04/2019,Kuvera,Finance,Wealth Management,Eight Roads,Series A,45000000,,Bengaluru
100,12/04/2019,Medlife,E-commerce,Online Medicine,Prasid Uno Family Trust,Private Equity,17000000,,Bengaluru
101,10/04/2019,Kabadiwala,E-commerce,Waste Management,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,430665,,Bhopal
102,13/04/2019,Tripoto,Social Media,Travel,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,3591375,,New Delhi
103,12/04/2019,Azah,Health and Wellness,Organic wellness,Unnamed angel investors,Seed Funding,200000,,Gurugram
104,11/04/2019,Setu,Fintech,Banking,Lightspeed India Partners,Seed Funding,3500000,,Bengaluru
105,10/04/2019,Toppr,Edtech,E-learning,Milestone,Debt and Preference capital,6320820,,Mumbai
106,10/04/2019,Craftsvilla,E-commerce,Fashion and Apparel,Supera Pte Ltd,Inhouse Funding,2443495,,Mumbai
107,10/04/2019,Unacademy,Edtech,E-learning,Kalyan Krishnamurthy,Seed/ Angel Funding,307000,,Bengaluru
108,11/04/2019,CleverTap,SaaS,Mobile analytics and marketing,"Sequoia India, Tiger Global Management, Accel Partners",Series B,26000000,,Mumbai
109,19/04/2019,My Healthcare,E-commerce,Software Solutions,Sixth Sense Ventures,Series A,3000000,,Bengaluru and Gurugram
111,17/04/2019,Shuttl,Transportation,Bus Aggregation,New Atlantic Ventures,Venture Round,5000000,,Gurugram
112,17/04/2019,Increff,Technology,Supply-chain technology solutions,"021 Capita, Binny Bansal",Series A,3000000,,Bengaluru
114,08/02/2019,Zilingo,Ecommerce,Fashion & Apparel,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,226000000,,India/Singapore
115,13/02/2019,NanoClean Global,Nanotechnology,Anti-Pollution,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,600000,,New Delhi
116,14/02/2018,OyoRooms,Hospitality,Budget Rooms,DiDi Chuxing,Equity,100000000,,Gurgaon
117,03/01/2019,CarDekho,Automobile,Online Marketplace,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series C,110000000,,Jaipur
118,04/01/2019,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,22000000,,India/US
119,04/01/2019,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Non-banking financial company,"MASSIF, a Dutch government fund",Debt-Funding,5000000,,Chennai
120,04/12/2018,Manch,Social Media,Hyperlocal Content,Stellaris Venture Partners,Seed Funding,700000,,Delhi
121,01/12/2018,UrbanClap Technologies Pvt. Ltd,Services Platform,Home services marketplace,Steadview Capital and Vy Capital.,Series D,50000000,,New Delhi
122,02/12/2018,Guiddoo,Travel Tech,Platform for travel agents,Individual Investors,Pre-Series A,800000,,Mumbai
123,02/12/2018,Career Anna,Online Education,"Video-based certification, trainings",Individual Investors,Pre-Series A,572000,,Gurugram
124,04/12/2018,Nagpur Wholesale,Online Marketplace,eCommerce,Omphalos Ventures India LLP,Seed Funding,143000,,Nagpur
125,06/12/2018,ShopKirana,B2B,eCommerce,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Funding,2000000,,Indore
126,06/12/2018,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP","Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,3500000,,Gurugram
127,01/11/2018,GoDesi,Food and Beverage,Regional Flavours,Lead Angels Network,Seed/ Angel Funding,138995,,Bengaluru
128,03/11/2018,Veritas Finance Ltd.,NBFC,MSME Finance,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Series D,27799000,,Chennai
129,06/11/2018,Meesho,Ecommerce,Social Commerce,"Shunwei Capital, DST Partners and RPS Ventures",Series C,50000000,,Bengaluru
130,08/11/2018,Mobile Premier League,Gaming,Mobile e-Sports,Undisclosed,Series A,500000,,Bengaluru
131,08/11/2018,A&R Bon Vivants,Food,Meat Retail Chain,"RB Investments, Singapore",Equity,1000000,,Jaipur
132,12/11/2018,Blackbuck,Food Tech,POS For Online Ordering,Tiger Global,Series A,1000000,,"New York, Bengaluru"
133,12/11/2018,MilkBAsket,Food,Micro-delivery grocery service,Mayfield Fund,Series B,1300000,,New Delhi
134,13/11/2018,DriveU,Transport,On-Demand Drivers,Stevens Creek Ventures,Mezzanine,1000000,,Bengaluru
135,14/11/2018,CleanseCar,Services,Car Wash,Venture Catalysts,Seed/ Angel Funding,500000,,Bengaluru
136,19/11/2018,Automation Anywhere,Automation,Robotics,SoftBank Vision Fund,Series B,300000000,,California
137,20/11/2018,HealthifyMe,Health and Wellness,Wellness Coach,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Series B (Extension),6000000,,Bengaluru
138,21/11/2018,Genius Corner,Education,Personalized Learning,Individual investors,Seed Funding,278000,,Noida
139,22/11/2018,Aavishkaar-Intellecap Group,Investment,SME Funding,Teachers Insurance and Annuity Association (TIAA),Equity Based Funding,31000000,,Mumbai
141,23/11/2018,Signzy,Financial Tech,Digital Onboarding Solution,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,3400000,,Mumbai/Bengaluru
142,24/11/2018,Engineer.ai,Software,AI Platform,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.",Series A,29500000,,India/US
143,25/11/2018,InCred Finance,Finance,SME Lending,"Paragon Partners, Individual Investors",Private Equity,42000000,,India
144,25/11/2018,Roposo,Social Media,Video Sharing,Bertelsmann India Investments,Series B,1700000,,Delhi
146,02/10/2018,Origo Commodities India Pvt. Ltd,Logistics,Supply Chain,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Seed/ Angel Funding,11000000,,Hyderabad
147,04/10/2018,Grover Zampa,Food,Wine,Ravi Viswanathan,Private Equity,8200000,,Mumbai
148,05/10/2018,Droom,Automobile,New and Used Cars Platform,ZigExN,Series E,3000000,,Gurgaon
149,11/10/2018,Innov8,Real Estate,Co-Working,Credence Family Office,Pre-Series A,4000000,,New Delhi
150,12/10/2018,Blackbuck,Logistics Tech,Largest Trucking Platform,Sequoia Capital India,Private Funding,14680000,,Bengaluru
151,12/10/2018,LetsTransport,Logistics Tech,Book Trucks Online,Fosun International,Series C,12000000,,Bengaluru
152,01/09/2018,Netmeds,Consumer Internet,Online Pharmacy Chain,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Equity,35000000,,Chennai
153,03/09/2018,Udaan,B2B Platform,Logistics and Shipping,DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.,Private Equity,225000000,,Bengaluru
154,03/09/2018,Daily hunt,Consumer Internet,News and ebooks Mobile App\\xc2\\xa0,Falcon Edge,Private Equity,6390000,,Bengaluru
155,04/09/2018,3HCare,Healthcare,Healthcare Service Provider,,Seed / Angel Funding,1000000,,Delhi
157,05/09/2018,Nykaa,Consumer Internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Lighthouse,Private Equity,157200000,,Mumbai
159,06/09/2018,Dream11,Consumer Internet,Online Gaming Platform,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Private Equity,100000000,,Mumbai
160,10/09/2018,MamaEarth,Healthcare,Online Marketplace For Mother and Babycare Products,Stellaris Ventures & Others,Private Equity,4000000,,Gurugram
161,11/09/2018,AutoGrid,Technology,AI-Based Energy Optimisation and Control Provider,"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska",Private Equity,32000000,,Bengaluru
162,11/09/2018,Pharmeasy,Consumer Internet,Online Marketplace For Pharmaceutical Products,InnoVen Capital,Debt Funding,5500000,,Mumbai
163,11/09/2018,Upwards,Fin-Tech,Online Micro Lending Marketplace,"Shunwei Capital,Quotient, Mayfield & Others",Private Equity,5000000,,Mumbai
164,12/09/2018,Kissht,Fin-Tech,Online lending Platform,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n",Private Equity,30000000,,Mumbai
165,01/08/2018,dishq,Food-Tech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",Seed/ Angel Funding,400000,,Bengaluru
167,02/08/2018,Samosa Labs,Consumer Internet,Social Media and Chat Entertainment Platform,Xiaomi and Sequoia Capital India,Private Equity,7000000,,Hyderabad
168,03/08/2018,ZiffyHomes,Consumer Internet,Online Home Rental Marketplace,Y Combinator,Private Equity,120000,,Gurugram
169,07/08/2018,My OmNamo,Consumer Internet,Holy Platform Offering Customised Puja Packages To Individuals and Corporates,,Seed/ Angel Funding,1000000,,Mumbai
170,07/08/2018,ShopX,Consumer Internet,Assisted E-commerce Platform,Fung Strategic Holdings,Private Equity,35000000,,Bengaluru
171,07/08/2018,MakeMyTrip,Consumer Internet,Online Travel Aggregator,MakeMyTrip Limited,Private Equity,10000000,,Gurugram
172,08/08/2018,Hansel io,Consumer Internet,Real-time Mobile App Management,Vertex Ventures,Seed/ Angel Funding,4000000,,Bengaluru
173,08/08/2018,Metro Bikes,Consumer Internet,Online Bike Rental Marketplace,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Private Equity,12200000,,Bengaluru
174,08/08/2018,Phone Pe,Consumer Internet,UPI Payments App,Flipkart,Private Equity,66000000,,Bengaluru
175,09/08/2018,quizizz,Ed-Tech,e-learning Platform,"Nexus Venture Partners, Prime Venture Partners and Others",Seed/ Angel Funding,3000000,,Bengaluru
176,09/08/2018,Happy EMI,Fin-Tech,Consumer Financing Platform,AJ Ventures and Jain International Trade Organisation (JITO),Seed/ Angel Funding,1000000,,Bengaluru
177,13/08/2018,Inthree,Consumer Internet,Rural E-commerce Platform,"Ventureast, Orios Venture Partners and the IAN Fund",Seed/ Angel Funding,4000000,,Chennai
178,13/08/2018,Observe AI,Technology,AI Based Solutions Platform,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",Private Equity,8000000,,Bengaluru
179,16/08/2018,Enakshi,Consumer Internet,AI Based Solutions Platform,,Seed/ Angel Funding,114811,,Ahemadabad
180,17/08/2018,EazyDiner,Consumer Internet,Online Restaurant Table Reservation Platform,Denlow Investment Trust and Beenext,Private Equity,5850000,,Gurugram
181,20/08/2018,Finzy,Finance,Online Loan Matchmaking Platform,,Seed / Angel Funding,1000000,,Bengaluru
182,20/08/2018,RawPressery,Consumer Internet,Online Organic Juice Delivery Service,Alteria Capital,Debt Funding,4800000,,Mumbai
183,22/08/2018,Pi Ventures,Technology,Applied Artificial Intelligence and IoT focused\\xc2\\xa0Platform,CDC Group plc\\xc2\\xa0,Private Equity,6000000,,Bengaluru
184,22/08/2018,Revv,Consumer Internet,Online Indian Car Rental Platform,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",Private Equity,14270000,,Gurugram
185,26/08/2018,ZestMoney,Consumer Internet,Online Lending Platform,"Xiaomi,PayU, Ribbit Capital and Omidyar Network",Private Equity,13400000,,Bengaluru
186,26/08/2018,Shubh Loans,Fin-Tech,\\xc2\\xa0Customer Sourcing Platform\\xc2\\xa0,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",Private Equity,4200000,,Bengaluru
187,27/08/2018,MyUpchar,Healthcare,Local Language Health Content App,"Nexus Venture Partners, Omidyar Network and Shunwei Capital",Private Equity,5000000,,Delhi
188,28/08/2018,Narvar,IT,Post-Purchase Customer Engagement Platform\\xc2\\xa0,Accel (formerly known as Accel Partners),Private Equity,3000000,,Bengaluru
189,30/08/2018,True North,Finance,Private Equity Firm,,Private Equity,600000000,,Mumbai
191,02/07/2018,Biryani By Kilo,Consumer Internet,Online Food Delivery,Ajay Relan and Vinay Mittal,Seed/ Angel Funding,1000000,,Gurugram
192,04/07/2018,Anchanto,IT,E-commerce Fulfilment Platform,MDI Ventures & Telkom Indonesia,Private Equity,4000000,,Pune
193,05/072018,Loan Tap,Consumer Internet,Online Lending Platform For Salaried Professionals,"Shunwei Capital, Tuscan Ventures, Ashish Goenka, VC firms India Quotient and Kae Capital",Private Equity,6250000,,Mumbai
194,06/07/2018,PolicyBazaar,Consumer Internet,Online Insurance Selling Platform,Info Edge (India) Ltd and Temasek,Private Equity,27700000,,Gurugram
195,09/07/2018,zippserv,Consumer Internet,Online Platform For Risk-Assessment Services For Real Estate Investments,Info Edge (India) Ltd,Seed/ Angel Funding,440000,,Bengaluru
196,09/07/2018,Groww,Consumer Internet,Online Platform That Sells Direct Plans Of Mutual Funds,"Insignia Ventures Partners, Lightbridge Partners & Kairos",Seed/ Angel Funding,1100000,,Bengaluru
197,10/07/2018,Avenue Growth,Consumer Internet,Online Platform That Connects Brands With Freelance Sales Professionals,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others",Seed/ Angel Funding,437000,,Gurugram
199,10/07/2018,Kinara Capital,Finance,Lending Platform For Micro and Small Enterprises,ResponsAbility,Private Equity,5000000,,Bengaluru
200,10/07/2018,Shop 101,Consumer Internet,Mobile Storefront And Commerce Platform For Sellers,"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma",Private Equity,5000000,,Mumbai
201,11/07/2018,Sambandh,Consumer Internet,Online Micro Lending Platform,Base of Pyramid Asia (BOPA) Pte Ltd,Private Equity,2500000,,Rourkela
202,12/07/2018,19th mile,IT,Artificial intelligence-based sales acceleration software platform,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta and Others",Seed/ Angel Funding,180000,,Gurugram
203,12/07/2018,5th Vital,Healthcare,Home diagnostics services provider,Brand Capital and Others,Seed/ Angel Funding,500000,,Bengaluru
204,13/07/2018,MEngage,Healthcare,A Doctor-Patient Engagement Platform,"Siddharth Agarwal, Mahavir Sharma, Amit Singal, 100 Co-founders Lab and others.",Seed/ Angel Funding,175000,,Jaipur
205,17/07/2018,Ofbusiness,Finance,Online Lending Platform For SME,"Creation Investments, Falcon Edge, Matrix Partners India and Zodius Capital",Private Equity,29000000,,Gurugram
206,17/07/2018,Cars24,Consumer Internet,Online Used Car Marketplace,"Kingsway FCI Fund, KCK Global & Others",Private Equity,49700000,,Gurugram
207,18/07/2018,The Ken,Consumer Internet,Subscription-Only News Website,Omidyar Network & Others,Seed/ Angel Funding,1500000,,Bengaluru
208,19/07/2018,Book My Show,Consumer Internet,Online Ticketing Platform,"TPG Growth, The Rise Fund & Others",Private Equity,100000000,,Mumbai
209,20/07/2018,HousingMan,Consumer Internet,Property Discovery Platform,,Seed/ Angel Funding,1500000,,Bengaluru
210,21/07/2018,PaySense,Consumer Internet,Online Consumer Lending Platform,PayU & Others,Private Equity,18000000,,Mumbai
212,23/07/2018,VTION,Technology,Media Analytics,"AngelList, Rahul Khanna, Rajeev Arora and Ram Ramsundar.",Seed/ Angel Funding,280000,,Gurugram
213,23/07/2018,Log9 Materials,Technology,Nanotechnology Company Specializing In Graphene,"Metaform Ventures, Hemant Luthra, Micro venture capital firm GEMS Partners and Others",Seed/ Angel Funding,436000,,Bengaluru
214,24/07/2018,kidovators,Ed-Tech,Skill Learning Platform,Gray Matters,Seed/ Angel Funding,180000,,Bengaluru
215,24/07/2018,Digit,Consumer Internet,Online Insurance Startup,Fairfax,Private Equity,45000000,,Pune
216,25/07/2018,Black Soil,Finance,Non-Banking Financial Company,"Allcargo Logistics, Navneet Education and Mahavir Agency",Private Equity,17000000,,Mumbai
217,25/07/2018,Trell,Consumer Internet,Mobile-First Video Blogging App,"BeeNext , WEH Ventures and Sprout Ventures",Seed/ Angel Funding,1250000,,Bengaluru
218,25/07/2018,iqlect,Technology,Data Analytics Firm,Ventureast and Exfinity,Seed/ Angel Funding,2500000,,Bengaluru
219,26/07/2018,Entropik,IT,Software-As-A-Service Platform,"Bharat Innovation, IDFC-Parampara Capital, Arthavida Ventures, Jitendra Gupta & Others",Seed/ Angel Funding,1100000,,Bengaluru
221,26/07/2018,TheCapitalNet,Fin-Tech,Unified Global Investments Ecosystem,Lindwall Family Investments LLC (LFI),Private Equity,500000,,Hyderabad
222,30/07/2018,Shuttl,Consumer Internet,Bus Aggregation Platform,Amazon Alexa Fund & Dentsu Ventures,Private Equity,11000000,,Gurugram
